YEAR ;SEMESTRE;DEP_NAC;COD_DEP_NAC;CIU_NAC;COD_CIU_NAC;LON_CIU_NAC;LAT_CIU_NAC;EDAD;SEXO;ESTRATO;DISCAPACIDAD;TIPO_DISC;MOD_INS;PTOTAL;ADMITIDO;ADM_SEDE_NOMBRE;AREAC_SNIES;NIVEL
2018;1;BOGOTÁ, D. C.;11;BOGOTÁ, D.C.;11001;-74,11391872;4,62457505;33,25;Hombres;2;No;;Regular;562,5715;No;;;Pregrado
2012;1;ANTIOQUIA;5;MEDELLÍN;5001;-75,57705563;6,24894081;17,08;Mujeres;3;No;;Regular;714,816;Sí;Medellín;Ingeniería, arquitectura, urbanismo y afines;Pregrado
2012;1;BOYACÁ;15;SOGAMOSO;15759;-72,9232369;5,724862053;16,75;Hombres;2;No;;Regular;545,8749;No;;;Pregrado
2013;1;NORTE DE SANTANDER;54;CÚCUTA;54001;-72,50559097;7,905267117;23;Hombres;3;No;;Regular;3,31;No;;Agronomía, veterinaria y afines;Maestría
2009;2;BOGOTÁ, D. C.;11;BOGOTÁ, D.C.;11001;-74,11391872;4,62457505;17,15;Hombres;3;No;;Regular;554,53;No;;;Pregrado
2018;1;BOYACÁ;15;DUITAMA;15238;-73,03026863;5,819369141;18,81;Mujeres;2;No;;Regular;564,147;No;;;Pregrado
2019;2;BOYACÁ;15;TUNJA;91263;-73,35436382;5,539370636;16;Hombres;5;No;;Regular;699,4322;No;;;Pregrado
2012;2;SANTANDER;68;BUCARAMANGA;68001;-73,13232523;7,122787285;18,66;Hombres;2;No;;Regular;438,9;No;;;Pregrado
2015;1;BOGOTÁ, D. C.;11;BOGOTÁ, D.C.;11001;-74,11391872;4,62457505;23,68;Hombres;3;No;;Regular;596,4452;No;;;Pregrado
2012;2;BOGOTÁ, D. C.;11;BOGOTÁ, D.C.;11001;-74,11391872;4,62457505;19,01;Hombres;3;No;;Regular;;No;;;Pregrado
2017;1;BOGOTÁ, D. C.;11;BOGOTÁ, D.C.;11001;-74,11391872;4,62457505;17,23;Hombres;3;No;;Regular;485,8111;No;;;Pregrado
2013;2;CUNDINAMARCA;25;CÁQUEZA;25151;-73,94657392;4,403665469;17,63;Mujeres;2;No;;Regular;339,5152;No;;;Pregrado
2015;1;BOGOTÁ, D. C.;11;BOGOTÁ, D.C.;11001;-74,11391872;4,62457505;27;Mujeres;3;No;;Regular;3,94;Sí;Bogotá;Ciencias de la salud;Especialización
2011;1;BOGOTÁ, D. C.;11;Bogotá D.C.;11001;-74,11391872;4,62457505;26,11;Hombres;4;No;;Regular;763,6269;Sí;Bogotá;Ingeniería, arquitectura, urbanismo y afines;Pregrado
2018;1;BOGOTÁ, D. C.;11;BOGOTÁ, D.C.;11001;-74,11391872;4,62457505;16,81;Hombres;1;No;;Regular;430,5919;No;;;Pregrado
2020;2;BOGOTÁ, D. C.;11;BOGOTÁ, D.C.;11001;-74,11391872;4,62457505;16;Hombres;2;No;;Regular;;No;;;Pregrado
2014;1;CALDAS;17;MANIZALES;17001;-75,49041506;5,057050564;18,28;Hombres;2;No;;Regular;594,378;No;;;Pregrado
2016;1;TOLIMA;73;IBAGUÉ;73001;-75,19635015;4,439630726;18,99;Hombres;2;No;;Regular;;No;;;Pregrado
